Company,Ticker,Time,Price
Cadence Design Systems,CDNS,2023-08-04 21:08:44,229.0
Synopys,SNPS,2023-08-04 21:08:44,441.42
Tractor Supply Company,TSCO,2023-08-04 21:08:44,222.31
Lululemon Ahtletica Inc.,LULU,2023-08-04 21:08:45,378.2
Arch Capital Group Ltd.,ACGL,2023-08-04 21:08:45,76.72
Costco Wholesale Corporation,COST,2023-08-04 21:08:46,552.04
Brown & Brown Inc.,BRO,2023-08-04 21:08:46,70.0
Thermo Fisher Scientific Inc.,TMO,2023-08-04 21:08:47,548.64
CDW Corporation,CDW,2023-08-04 21:08:47,197.87
Intuit Inc.,INTU,2023-08-04 21:08:48,496.98
Cadence Design Systems,CDNS,2023-08-04 21:09:49,229.0
Synopys,SNPS,2023-08-04 21:09:49,441.42
Tractor Supply Company,TSCO,2023-08-04 21:09:50,222.31
Lululemon Ahtletica Inc.,LULU,2023-08-04 21:09:50,378.2
Arch Capital Group Ltd.,ACGL,2023-08-04 21:09:51,76.72
Costco Wholesale Corporation,COST,2023-08-04 21:09:51,552.04
Brown & Brown Inc.,BRO,2023-08-04 21:09:52,70.0
Thermo Fisher Scientific Inc.,TMO,2023-08-04 21:09:52,548.64
CDW Corporation,CDW,2023-08-04 21:09:53,197.87
Intuit Inc.,INTU,2023-08-04 21:09:53,496.98
Cadence Design Systems,CDNS,2023-08-04 21:10:54,229.0
Synopys,SNPS,2023-08-04 21:10:54,441.42
Tractor Supply Company,TSCO,2023-08-04 21:10:55,222.31
Lululemon Ahtletica Inc.,LULU,2023-08-04 21:10:55,378.2
Arch Capital Group Ltd.,ACGL,2023-08-04 21:10:55,76.72
Costco Wholesale Corporation,COST,2023-08-04 21:10:56,552.04
Brown & Brown Inc.,BRO,2023-08-04 21:10:56,70.0
Thermo Fisher Scientific Inc.,TMO,2023-08-04 21:10:57,548.64
CDW Corporation,CDW,2023-08-04 21:10:57,197.87
Intuit Inc.,INTU,2023-08-04 21:10:58,496.98
